pickup_borough,hour,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
N/A,10,1784,177707.4,157751.84999999998,13428.17,28735.783333333333,2236,1087,255,646,1,99.61177130044842,88.42592488789236,7.527001121076233,16.10750186846039,1.2533632286995515,0.609304932735426,0.1429372197309417
N/A,11,1941,190880.13,167497.37999999998,72567.78,31924.816666666666,2394,1173,265,660,1,98.3411282843895,86.29437403400308,37.38680061823802,16.447612914305342,1.23338485316847,0.6043276661514683,0.13652756311179803
N/A,12,2121,205089.22000000003,181340.88,9174.450000000003,32888.73333333334,2567,1254,269,661,1,96.69458745874589,85.49782178217822,4.325530410183877,15.506239195348108,1.2102781706742103,0.5912305516265912,0.12682696841112684
N/A,13,2136,206890.64,183358.71000000005,148451.55000000002,36329.96666666667,2565,1248,274,643,1,96.8589138576779,85.84209269662924,69.4997893258427,17.008411360799002,1.2008426966292134,0.5842696629213483,0.12827715355805244
N/A,14,2432,227647.86999999997,202219.17,29041.61,54867.649999999994,2709,1345,276,677,1,93.60520970394735,83.14932976973685,11.941451480263158,22.560711348684208,1.1138980263157894,0.5530427631578947,0.11348684210526316
N/A,15,2658,257071.67,228979.86999999997,21324.260000000002,67506.88333333333,2920,1457,276,681,1,96.71620391271634,86.14743039879608,8.022671181339353,25.397623526460997,1.0985703536493605,0.5481565086531226,0.1038374717832957
N/A,16,2836,282399.8,251601.69,32751.239999999994,76923.33333333333,3111,1478,284,676,1,99.57679830747531,88.71709802538787,11.548392101551478,27.123883403855192,1.0969675599435824,0.5211565585331452,0.1001410437235543
N/A,17,3168,323199.52999999997,289392.26999999996,17607.35,73757.86666666665,3430,1688,306,686,1,102.02005366161615,91.34857007575756,5.557875631313131,23.282154882154877,1.08270202020202,0.5328282828282829,0.09659090909090909
N/A,18,2712,304073.26999999996,271510.53,12202.41,44375.09999999999,3577,1736,328,685,1,112.1214122418879,100.1145022123894,4.499413716814159,16.362499999999997,1.318952802359882,0.640117994100295,0.12094395280235988
N/A,19,2332,265742.24000000005,234954.94000000006,7497.649999999998,20061.833333333332,3292,1665,281,678,1,113.95464837049745,100.75254716981135,3.2151157804459682,8.602844482561464,1.411663807890223,0.7139794168096055,0.12049742710120069
N/A,20,2244,258951.34999999998,230284.96000000002,11131.089999999998,17991.866666666665,3192,1620,323,678,1,115.3972147950089,102.6225311942959,4.9603787878787875,8.017765894236481,1.4224598930481283,0.7219251336898396,0.14393939393939395
N/A,21,2349,261689.0,229384.24,11169.810000000001,18045.533333333333,3437,1761,315,681,1,111.40442741592167,97.65186888037462,4.755134099616859,7.6822193841350925,1.4631758194976585,0.7496807151979565,0.13409961685823754
N/A,22,2539,285551.83,253320.66,21592.050000000003,14975.916666666668,3642,1961,290,686,1,112.46625836943679,99.77182355257976,8.504155179204412,5.898352369699357,1.4344230011815675,0.7723513194170933,0.11421819614021268
N/A,23,2727,309545.78,272557.13000000006,13000.960000000003,20093.483333333334,3977,2100,306,698,1,113.51147048038138,99.94760909424278,4.7674954162082885,7.368347390294585,1.4583791712504584,0.77007700770077,0.11221122112211221
